address,name,category
0x00000000000058734c4ce0fa7d019c2020289543,Gnosis_safe: SafeL2_v1_3_0,contracts
0x00000000000058964761799ac67ca3830a7c74cc,Contract Deployer,infrastructure
0x0000000000005e88410ccdfade4a5efae4b49562,Zeroex: AllowanceHolder,contracts
0x000000000000614c27530d24b5f039ec15a61d8d,Yetifinance: TroveManager,contracts
0x00000000000061ad8ee190710508a818ae5325c3,ret↩️rn.eth,social
0x00000000000062c6e2195ae26dff3b084c5c3938,Contract Deployer,infrastructure
0x00000000000062f06c7007906b2a4034fa5c4818,Flashbots User,infrastructure
0x00000000000063a311e80f11a41bc69c6896d841,Tornado Cash Depositor,tornado_cash
0x0000000000006496778e5d0bba899702ee4bdc92,Opensea User,nft
0x000000000000660def84e69995117c0176ba446e,Balancer v2 Flashloan User,infrastructure
0x0000000000006639b59faf68c388b37cab5a77ea,alex.black,social
0x00000000000069569a67de4dcaf26a754809131a,Contract Deployer,infrastructure
0x0000000000006e2f9d80caec0da6500f005eb25a,Gnosis_safe: SafeL2_v1_3_0,contracts
0x0000000000006e543164be036824fcf832e67e47,12zeros.eth,social
0x00000000000070194cbddf1504ca61d9cd33fdc6,Contract Deployer,infrastructure
0x000000000000702e1119f6e097e40270cd6e218f,Balancer v2 Flashloan User,infrastructure
0x000000000000728473be6bf55bc45a265c51ed18,Panoptic_v1: PanopticPool,contracts
0x00000000000073c48c8055bd43d1a53799176f0d,Gnosis_safe: SafeL2_v1_3_0,contracts
0x00000000000076a84fef008cdabe6409d2fe638b,Delegatecash: DelegationRegistry,contracts
0x000000000000774d54f4064ec64beaadef498ae8,Powerpool: PPAgentV2_old,contracts
0x00000000000078b629b7c06f5339060648468aa6,Gnosis_safe: SafeL2_v1_3_0,contracts
0x0000000000007ba7cc7223b3ed4eb1010d32a804,Contract Deployer,infrastructure
0x0000000000007ee9f95090e9dc21e3d61b6997b2,Panoptic_v1: PanopticPool,contracts
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,Flashbots User,infrastructure
0x00000000000080c886232e9b7ebbfb942b5987aa,Flashbots User,infrastructure
0x00000000000082b8e2012be914dfa4f62a0573ea,Gnosis_safe: SafeL2_v1_3_0,contracts
0x0000000000008765af4e1a776bdabbfb2abe67c8,buyusdc.eth,social
0x000000000000888741b254d37e1b27128afeaabc,sendslow.eth,social
0x00000000000088a0c099c6205b3fc790db8c80d8,Opensea User,nft
0x00000000000088f331ccb0eb3ccebb34b4a4fbdb,Contract Deployer,infrastructure
0x000000000000890e98743d05068c0c1c19165b25,"Blur, Opensea User",nft
0x0000000000008cf7dcea7357333d113152cc14d7,Opensea User,nft
0x0000000000008e356bebe1e3ccf19d13436202b8,Contract Deployer,infrastructure
0x0000000000008e410107db1c5219e1abd51bddd6,keccomic.eth,social
0x0000000000008e6a39e03c7156e46b238c9e2036,Gnosis_safe: SafeL2_v1_3_0,contracts
0x0000000000009480cded7b47d438e73edf0f67e5,Flashbots User,infrastructure
0x000000000000951f50b2b29e7afd3942951b7911,Flashbots User,infrastructure
0x00000000000096ae34172addd0864cfe4c18761a,Contract Deployer,infrastructure
0x0000000000009703ecd0ffea3143fc9096de91b0,Looksrare_v2: Raffle,contracts
0x00000000000099de0bf6fa90deb851e2a2df7d83,Gnosis_safe: SafeL2_v1_3_0,contracts
0x0000000000009a9bf49747a2e52c19641fa396e1,Contract Deployer,infrastructure
0x0000000000009c88187c39291c0aae2be063be95,nanilp.eth,social
0x0000000000009cb77a0c864c0b1ca56062140580,Flashbots User,infrastructure
0x0000000000009cbfbceea07711dd557bbffbfc6b,Contract Deployer,infrastructure
0x0000000000009ee287f718baabc5670519205029,Opensea User,nft
0x0000000000009f100078627c52a022382b5f561d,Contract Deployer,infrastructure
0x000000000000a1308a83f0de5096a3c3bc7fb464,ellipticbadger.eth,social
0x000000000000a25d11d75bdd1ebf1397db20bbc1,mebius.eth,social
0x000000000000a3ba782d2e3de870a7538d21f474,Contract Deployer,infrastructure
0x000000000000a4708edf2f5995af65db76fdeaa0,Contract Deployer,infrastructure
0x000000000000a53f64b7bcf4cd59624943c43fc7,Gnosis_safe: SafeL2_v1_3_0,contracts
0x000000000000a59351f61b598e8da953b9e041ec,Gungame_token: GunGame,contracts
0x000000000000aaeb6d7670e522a718067333cd4e,Aurem: OperatorFilterRegistry,contracts
0x000000000000ab9aad7c6c7087ee7bdfcf028c1a,poole.eth,social
0x000000000000abe945c436595ce765a8a261317b,Flashbots User,infrastructure
0x000000000000ad05ccc4f10045630fb830b95127,Blur: BlurExchange,contracts
0x000000000000addb49795b0f9ba5bc298cdda236,Umaproject: ModuleProxyFactory,contracts
0x000000000000b03943bc5083d5516fea9f20fb71,Meme_market: MemeMarketProtocol,contracts
0x000000000000b1da98e11c89084f3d674fedfecf,Contract Deployer,infrastructure
0x000000000000b33292a7e0fa6e8c1534a29c75df,Contract Deployer,infrastructure
0x000000000000b396a7ab58af828f99d4ff9ea749,93211.eth,social
0x000000000000b42420aa8e2c466d3f23b2c1275c,Contract Deployer,infrastructure
0x000000000000b5db1712886f28525d774072071b,Contract Deployer,infrastructure
0x000000000000bb1b11e5ac8099e92e366b64c133,Balancer v2 Flashloan User,infrastructure
0x000000000000bb23bd78a8af991cfb0b438121d7,Gnosis_safe: SafeL2_v1_3_0,contracts
0x000000000000bcbb63c5f383bc510ec7ec636bad,Safe version 1.3.0L2,safe
0x000000000000be0ab658f92dddac29d6df19a3be,Balancer v2 Flashloan User,infrastructure
0x000000000000be99f942430ce26aaf20f5673906,Safe version 1.4.1L2,safe
0x000000000000c1a8cc407293a22bff068d4584d2,Across Bridge User,bridge
0x000000000000c35e4364deffa9059dbadaefd4f8,Cryptopunks User,nft
0x000000000000c5a9089039570dd36455b5c07383,Gnosis_safe: SafeL2_v1_3_0,contracts
0x000000000000c826e64c795924eb735a892bd44b,D3caf: D3CAFImplV1,contracts
0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,Pendle: PendleLimitRouter,contracts
